productdepartment,order_date,productcategory,productname,orderquantity,profit,date,warehouseinventory,inventorycostperunit,month_of_supply
Fan Shop,2016-10,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,406.0,16125.0,2016-10,135,0.722,0.33
Fan Shop,2016-10,Water Sports,Pelican Sunstream 100 Kayak,93.0,9300.0,2016-10,79,1.602,0.85
Fan Shop,2016-11,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,84.0,12600.0,2016-11,149,0.977,1.77
Fan Shop,2016-11,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,104.0,20800.0,2016-11,81,1.488,0.78
Fan Shop,2016-11,Hunting & Shooting,ENO Atlas Hammock Straps,6.0,136.0,2016-11,5,1.423,0.83
Fan Shop,2016-11,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,282.0,12000.0,2016-11,438,1.346,1.55
Fan Shop,2016-11,Water Sports,Pelican Sunstream 100 Kayak,107.0,10700.0,2016-11,121,0.677,1.13
Fan Shop,2016-12,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,71.0,10650.0,2016-12,87,0.873,1.23
Fan Shop,2016-12,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,87.0,17400.0,2016-12,128,0.83,1.47
Fan Shop,2016-12,Hunting & Shooting,ENO Atlas Hammock Straps,5.0,136.0,2016-12,5,1.931,1.0
Fan Shop,2016-12,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,328.0,13375.0,2016-12,460,0.469,1.4
Fan Shop,2016-12,Water Sports,Pelican Sunstream 100 Kayak,73.0,7300.0,2016-12,81,0.901,1.11
Fan Shop,2017-01,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,66.0,9900.0,2017-01,15,1.309,0.23
Fan Shop,2017-01,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,73.0,14600.0,2017-01,32,1.346,0.44
Fan Shop,2017-01,Hunting & Shooting,ENO Atlas Hammock Straps,8.0,204.0,2017-01,12,2.043,1.5
Fan Shop,2017-01,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,288.0,12875.0,2017-01,491,0.671,1.7
Fan Shop,2017-01,Water Sports,Pelican Sunstream 100 Kayak,60.0,6000.0,2017-01,104,1.406,1.73
Fan Shop,2017-02,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,81.0,12150.0,2017-02,81,1.99,1.0
Fan Shop,2017-02,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,83.0,16600.0,2017-02,91,0.682,1.1
Fan Shop,2017-02,Hunting & Shooting,ENO Atlas Hammock Straps,7.0,136.0,2017-02,0,1.739,0.0
Fan Shop,2017-02,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,337.0,13125.0,2017-02,189,1.799,0.56
Fan Shop,2017-02,Water Sports,Pelican Sunstream 100 Kayak,68.0,6800.0,2017-02,105,0.267,1.54
Fan Shop,2017-03,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,62.0,9300.0,2017-03,11,0.161,0.18
Fan Shop,2017-03,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,77.0,15400.0,2017-03,91,1.125,1.18
Fan Shop,2017-03,Hunting & Shooting,ENO Atlas Hammock Straps,7.0,204.0,2017-03,3,0.172,0.43
Fan Shop,2017-03,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,287.0,13125.0,2017-03,175,2.098,0.61
Fan Shop,2017-03,Water Sports,Pelican Sunstream 100 Kayak,96.0,9600.0,2017-03,100,1.539,1.04
Fan Shop,2017-04,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,71.0,10650.0,2017-04,91,1.386,1.28
Fan Shop,2017-04,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,85.0,17000.0,2017-04,8,2.181,0.09
Fan Shop,2017-04,Hunting & Shooting,ENO Atlas Hammock Straps,4.0,68.0,2017-04,3,1.917,0.75
Fan Shop,2017-04,Hunting & Shooting,insta-bed Neverflat Air Mattress,1.0,60.0,2017-04,2,1.218,2.0
Fan Shop,2017-04,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,316.0,12625.0,2017-04,583,0.947,1.84
Fan Shop,2017-04,Water Sports,Pelican Sunstream 100 Kayak,79.0,7900.0,2017-04,23,0.574,0.29
Fan Shop,2017-05,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,70.0,10500.0,2017-05,97,2.161,1.39
Fan Shop,2017-05,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,82.0,16400.0,2017-05,85,0.699,1.04
Fan Shop,2017-05,Hunting & Shooting,The North Face Women's Recon Backpack,2.0,176.0,2017-05,2,0.293,1.0
Fan Shop,2017-05,Hunting & Shooting,insta-bed Neverflat Air Mattress,3.0,180.0,2017-05,1,0.985,0.33
Fan Shop,2017-05,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,335.0,13625.0,2017-05,599,0.851,1.79
Fan Shop,2017-05,Water Sports,Pelican Sunstream 100 Kayak,79.0,7900.0,2017-05,4,1.052,0.05
Fan Shop,2017-06,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,73.0,10950.0,2017-06,113,0.464,1.55
Fan Shop,2017-06,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,91.0,18200.0,2017-06,14,0.329,0.15
Fan Shop,2017-06,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,258.0,10750.0,2017-06,477,1.344,1.85
Fan Shop,2017-06,Water Sports,Pelican Sunstream 100 Kayak,75.0,7500.0,2017-06,84,2.031,1.12
Fan Shop,2017-07,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,71.0,10650.0,2017-07,90,0.324,1.27
Fan Shop,2017-07,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,85.0,17000.0,2017-07,35,1.76,0.41
Fan Shop,2017-07,Hunting & Shooting,insta-bed Neverflat Air Mattress,2.0,120.0,2017-07,0,1.103,0.0
Fan Shop,2017-07,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,337.0,13500.0,2017-07,91,1.147,0.27
Fan Shop,2017-07,Water Sports,Pelican Sunstream 100 Kayak,82.0,8200.0,2017-07,22,0.662,0.27
Fan Shop,2017-08,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,69.0,10350.0,2017-08,6,1.258,0.09
Fan Shop,2017-08,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,87.0,17400.0,2017-08,167,1.96,1.92
Fan Shop,2017-08,Hunting & Shooting,The North Face Women's Recon Backpack,7.0,352.0,2017-08,7,1.34,1.0
Fan Shop,2017-08,Hunting & Shooting,insta-bed Neverflat Air Mattress,5.0,300.0,2017-08,10,0.13,2.0
Fan Shop,2017-08,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,248.0,10250.0,2017-08,436,1.932,1.76
Fan Shop,2017-08,Water Sports,Pelican Sunstream 100 Kayak,94.0,9400.0,2017-08,129,2.041,1.37
Fan Shop,2017-09,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,75.0,11250.0,2017-09,34,0.765,0.45
Fan Shop,2017-09,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,94.0,18800.0,2017-09,8,1.497,0.09
Fan Shop,2017-09,Hunting & Shooting,The North Face Women's Recon Backpack,2.0,176.0,2017-09,1,0.959,0.5
Fan Shop,2017-09,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,254.0,11250.0,2017-09,150,0.916,0.59
Fan Shop,2017-09,Water Sports,Pelican Maverick 100X Kayak,7.0,1204.0,2017-09,3,1.412,0.43
Fan Shop,2017-09,Water Sports,Pelican Sunstream 100 Kayak,75.0,7500.0,2017-09,29,1.609,0.39
Fan Shop,2017-10,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,1.0,150.0,2017-10,0,1.778,0.0
Fan Shop,2017-10,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,5.0,250.0,2017-10,8,2.002,1.6
Fan Shop,2017-12,Toys,Toys,73.0,438.0,2017-12,133,0.195,1.82
Fitness,2015-01,Baseball & Softball,adidas Kids' F5 Messi FG Soccer Cleat,2.0,58.0,2015-01,1,0.756,0.5
Fitness,2015-01,Hockey,Nike Dri-FIT Crew Sock 6 Pack,10.0,108.0,2015-01,10,0.118,1.0
Fitness,2015-01,Hockey,Nike Women's Legend V-Neck T-Shirt,4.0,58.0,2015-01,7,0.17,1.75
Fitness,2015-01,Lacrosse,Under Armour Men's Tech II T-Shirt,6.0,177.0,2015-01,4,0.801,0.67
Fitness,2015-01,Tennis & Racquet,Nike Men's Comfort 2 Slide,11.0,424.0,2015-01,19,0.936,1.73
Fitness,2015-02,Baseball & Softball,adidas Kids' F5 Messi FG Soccer Cleat,3.0,58.0,2015-02,3,0.56,1.0
Fitness,2015-02,Baseball & Softball,adidas Men's F10 Messi TRX FG Soccer Cleat,7.0,270.0,2015-02,14,2.099,2.0
Fitness,2015-02,Hockey,Nike Dri-FIT Crew Sock 6 Pack,6.0,72.0,2015-02,1,0.96,0.17
Fitness,2015-02,Hockey,Nike Women's Legend V-Neck T-Shirt,5.0,58.0,2015-02,1,0.819,0.2
Fitness,2015-02,Lacrosse,Under Armour Men's Tech II T-Shirt,2.0,59.0,2015-02,3,0.865,1.5
Fitness,2015-02,Tennis & Racquet,Nike Men's Comfort 2 Slide,3.0,106.0,2015-02,2,0.988,0.67
Fitness,2015-03,Baseball & Softball,adidas Kids' F5 Messi FG Soccer Cleat,3.0,58.0,2015-03,5,1.842,1.67
Fitness,2015-03,Baseball & Softball,adidas Men's F10 Messi TRX FG Soccer Cleat,5.0,135.0,2015-03,4,1.0,0.8
Fitness,2015-03,Hockey,Nike Dri-FIT Crew Sock 6 Pack,6.0,108.0,2015-03,11,1.117,1.83
Fitness,2015-03,Lacrosse,Under Armour Men's Tech II T-Shirt,7.0,118.0,2015-03,1,0.329,0.14
Fitness,2015-03,Tennis & Racquet,Nike Men's Comfort 2 Slide,6.0,212.0,2015-03,9,0.212,1.5
Fitness,2015-04,Baseball & Softball,adidas Men's F10 Messi TRX FG Soccer Cleat,3.0,135.0,2015-04,3,0.535,1.0
Fitness,2015-04,Hockey,Nike Women's Legend V-Neck T-Shirt,5.0,58.0,2015-04,6,1.885,1.2
Fitness,2015-04,Lacrosse,Under Armour Men's Tech II T-Shirt,5.0,118.0,2015-04,7,0.922,1.4
Fitness,2015-04,Tennis & Racquet,Nike Men's Comfort 2 Slide,4.0,106.0,2015-04,5,0.309,1.25
Fitness,2015-05,Baseball & Softball,adidas Kids' F5 Messi FG Soccer Cleat,3.0,116.0,2015-05,3,1.964,1.0
Fitness,2015-05,Baseball & Softball,adidas Men's F10 Messi TRX FG Soccer Cleat,9.0,540.0,2015-05,5,0.162,0.56
Fitness,2015-05,Hockey,Nike Dri-FIT Crew Sock 6 Pack,5.0,72.0,2015-05,1,0.333,0.2
Fitness,2015-05,Hockey,Nike Women's Legend V-Neck T-Shirt,12.0,290.0,2015-05,22,1.567,1.83
Fitness,2015-05,Lacrosse,Under Armour Men's Tech II T-Shirt,3.0,118.0,2015-05,4,1.033,1.33
Fitness,2015-05,Tennis & Racquet,Nike Men's Comfort 2 Slide,5.0,212.0,2015-05,9,1.653,1.8
Fitness,2015-06,Baseball & Softball,adidas Kids' F5 Messi FG Soccer Cleat,6.0,174.0,2015-06,0,2.315,0.0
Fitness,2015-06,Baseball & Softball,adidas Men's F10 Messi TRX FG Soccer Cleat,3.0,135.0,2015-06,6,2.079,2.0
Fitness,2015-06,Lacrosse,Under Armour Men's Tech II T-Shirt,7.0,118.0,2015-06,9,0.208,1.29
Fitness,2015-07,Baseball & Softball,adidas Kids' F5 Messi FG Soccer Cleat,3.0,58.0,2015-07,2,1.256,0.67
Fitness,2015-07,Baseball & Softball,adidas Men's F10 Messi TRX FG Soccer Cleat,8.0,405.0,2015-07,11,1.334,1.38
Fitness,2015-07,Hockey,Nike Dri-FIT Crew Sock 6 Pack,6.0,108.0,2015-07,11,0.291,1.83
Fitness,2015-07,Hockey,Nike Women's Legend V-Neck T-Shirt,4.0,58.0,2015-07,4,0.385,1.0
Fitness,2015-07,Lacrosse,Under Armour Men's Tech II T-Shirt,8.0,118.0,2015-07,9,2.16,1.12
Fitness,2015-07,Tennis & Racquet,Nike Men's Comfort 2 Slide,20.0,636.0,2015-07,12,1.052,0.6
Fitness,2015-08,Baseball & Softball,adidas Men's F10 Messi TRX FG Soccer Cleat,10.0,405.0,2015-08,13,1.617,1.3
Fitness,2015-08,Hockey,Nike Dri-FIT Crew Sock 6 Pack,4.0,72.0,2015-08,4,2.11,1.0
Fitness,2015-08,Hockey,Nike Women's Legend V-Neck T-Shirt,1.0,58.0,2015-08,0,0.233,0.0
Fitness,2015-08,Lacrosse,Under Armour Men's Tech II T-Shirt,5.0,59.0,2015-08,1,0.141,0.2
Fitness,2015-08,Tennis & Racquet,Nike Men's Comfort 2 Slide,8.0,318.0,2015-08,10,1.703,1.25
Fitness,2015-09,Baseball & Softball,adidas Kids' F5 Messi FG Soccer Cleat,13.0,174.0,2015-09,6,0.875,0.46
Fitness,2015-09,Baseball & Softball,adidas Men's F10 Messi TRX FG Soccer Cleat,5.0,405.0,2015-09,3,2.08,0.6
Fitness,2015-09,Hockey,Nike Dri-FIT Crew Sock 6 Pack,7.0,72.0,2015-09,11,0.767,1.57
Fitness,2015-09,Soccer,Elevation Training Mask 2.0,3.0,160.0,2015-09,0,0.216,0.0
Fitness,2015-09,Tennis & Racquet,Nike Men's Comfort 2 Slide,2.0,106.0,2015-09,1,0.692,0.5
Fitness,2015-10,Baseball & Softball,adidas Kids' F5 Messi FG Soccer Cleat,6.0,116.0,2015-10,0,0.216,0.0
Fitness,2015-10,Baseball & Softball,adidas Men's F10 Messi TRX FG Soccer Cleat,5.0,135.0,2015-10,3,0.926,0.6
Fitness,2015-10,Hockey,Nike Dri-FIT Crew Sock 6 Pack,7.0,72.0,2015-10,6,2.216,0.86
Fitness,2015-10,Hockey,Nike Women's Legend V-Neck T-Shirt,5.0,58.0,2015-10,1,1.975,0.2
Fitness,2015-10,Tennis & Racquet,Nike Men's Comfort 2 Slide,6.0,212.0,2015-10,2,1.837,0.33
Fitness,2015-11,Baseball & Softball,adidas Kids' F5 Messi FG Soccer Cleat,1.0,58.0,2015-11,0,0.339,0.0
Fitness,2015-11,Hockey,Nike Dri-FIT Crew Sock 6 Pack,1.0,36.0,2015-11,2,1.381,2.0
Fitness,2015-11,Hockey,Nike Women's Legend V-Neck T-Shirt,5.0,116.0,2015-11,0,1.619,0.0
Fitness,2015-11,Lacrosse,Under Armour Men's Tech II T-Shirt,1.0,59.0,2015-11,1,0.901,1.0
Fitness,2015-11,Tennis & Racquet,Nike Men's Comfort 2 Slide,18.0,530.0,2015-11,30,0.666,1.67
Fitness,2015-12,Baseball & Softball,adidas Kids' F5 Messi FG Soccer Cleat,2.0,58.0,2015-12,4,0.324,2.0
Fitness,2015-12,Baseball & Softball,adidas Men's F10 Messi TRX FG Soccer Cleat,14.0,675.0,2015-12,9,1.346,0.64
Fitness,2015-12,Hockey,Nike Dri-FIT Crew Sock 6 Pack,8.0,72.0,2015-12,10,1.796,1.25
Fitness,2015-12,Hockey,Nike Women's Legend V-Neck T-Shirt,1.0,58.0,2015-12,1,2.195,1.0
Fitness,2015-12,Lacrosse,Under Armour Men's Tech II T-Shirt,9.0,177.0,2015-12,12,0.417,1.33
Fitness,2015-12,Sporting Goods,Smart watch,4.0,628.0,2015-12,7,0.762,1.75
Fitness,2015-12,Tennis & Racquet,Nike Men's Comfort 2 Slide,3.0,212.0,2015-12,2,0.497,0.67
Fitness,2016-01,Baseball & Softball,adidas Kids' F5 Messi FG Soccer Cleat,2.0,58.0,2016-01,1,1.703,0.5
Fitness,2016-01,Baseball & Softball,adidas Men's F10 Messi TRX FG Soccer Cleat,2.0,135.0,2016-01,4,2.261,2.0
Fitness,2016-01,Lacrosse,Under Armour Men's Tech II T-Shirt,4.0,59.0,2016-01,0,1.006,0.0
Fitness,2016-01,Sporting Goods,Smart watch,2.0,314.0,2016-01,4,0.522,2.0
Fitness,2016-01,Tennis & Racquet,Nike Men's Comfort 2 Slide,2.0,106.0,2016-01,3,1.603,1.5
Fitness,2016-02,Baseball & Softball,adidas Kids' F5 Messi FG Soccer Cleat,7.0,174.0,2016-02,13,1.034,1.86
Fitness,2016-02,Baseball & Softball,adidas Men's F10 Messi TRX FG Soccer Cleat,3.0,135.0,2016-02,1,0.183,0.33
Fitness,2016-02,Hockey,Nike Dri-FIT Crew Sock 6 Pack,3.0,72.0,2016-02,4,0.409,1.33
Fitness,2016-02,Hockey,Nike Women's Legend V-Neck T-Shirt,4.0,58.0,2016-02,3,1.108,0.75
Fitness,2016-02,Sporting Goods,Smart watch,1.0,157.0,2016-02,1,1.481,1.0
Fitness,2016-02,Tennis & Racquet,Nike Men's Comfort 2 Slide,7.0,318.0,2016-02,14,0.331,2.0
Fitness,2016-03,Baseball & Softball,adidas Kids' F5 Messi FG Soccer Cleat,2.0,58.0,2016-03,4,0.699,2.0
Fitness,2016-03,Baseball & Softball,adidas Men's F10 Messi TRX FG Soccer Cleat,4.0,135.0,2016-03,6,2.004,1.5
Fitness,2016-03,Hockey,Nike Dri-FIT Crew Sock 6 Pack,1.0,36.0,2016-03,2,1.382,2.0
Fitness,2016-03,Hockey,Nike Women's Legend V-Neck T-Shirt,4.0,58.0,2016-03,7,1.342,1.75
Fitness,2016-03,Sporting Goods,Smart watch,1.0,157.0,2016-03,2,0.425,2.0
Fitness,2016-03,Tennis & Racquet,Nike Men's Comfort 2 Slide,4.0,106.0,2016-03,3,1.421,0.75
Fitness,2016-04,Baseball & Softball,adidas Kids' F5 Messi FG Soccer Cleat,13.0,232.0,2016-04,22,0.791,1.69
Fitness,2016-04,Baseball & Softball,adidas Men's F10 Messi TRX FG Soccer Cleat,9.0,270.0,2016-04,3,0.635,0.33
Fitness,2016-04,Hockey,Nike Dri-FIT Crew Sock 6 Pack,5.0,72.0,2016-04,4,0.467,0.8
Fitness,2016-04,Hockey,Nike Women's Legend V-Neck T-Shirt,5.0,58.0,2016-04,7,2.052,1.4
Fitness,2016-04,Lacrosse,Under Armour Men's Tech II T-Shirt,11.0,177.0,2016-04,2,1.177,0.18
Fitness,2016-04,Tennis & Racquet,Nike Men's Comfort 2 Slide,20.0,636.0,2016-04,20,1.726,1.0
Fitness,2016-05,Baseball & Softball,adidas Men's F10 Messi TRX FG Soccer Cleat,22.0,945.0,2016-05,34,1.552,1.55
Fitness,2016-05,Hockey,Nike Dri-FIT Crew Sock 6 Pack,7.0,108.0,2016-05,2,0.839,0.29
Fitness,2016-05,Lacrosse,Under Armour Men's Tech II T-Shirt,9.0,118.0,2016-05,6,0.543,0.67
Fitness,2016-06,Baseball & Softball,adidas Kids' F5 Messi FG Soccer Cleat,5.0,116.0,2016-06,9,2.034,1.8
Fitness,2016-06,Baseball & Softball,adidas Men's F10 Messi TRX FG Soccer Cleat,19.0,540.0,2016-06,28,0.808,1.47
Fitness,2016-06,Hockey,Nike Women's Legend V-Neck T-Shirt,5.0,58.0,2016-06,1,1.379,0.2
Fitness,2016-06,Lacrosse,Under Armour Men's Tech II T-Shirt,3.0,118.0,2016-06,1,2.297,0.33
Fitness,2016-06,Tennis & Racquet,Nike Men's Comfort 2 Slide,1.0,106.0,2016-06,1,2.066,1.0
Fitness,2016-07,Baseball & Softball,adidas Kids' F5 Messi FG Soccer Cleat,5.0,116.0,2016-07,7,2.01,1.4
Fitness,2016-07,Baseball & Softball,adidas Men's F10 Messi TRX FG Soccer Cleat,11.0,405.0,2016-07,4,0.641,0.36
Fitness,2016-07,Hockey,Nike Dri-FIT Crew Sock 6 Pack,1.0,36.0,2016-07,1,0.555,1.0
Fitness,2016-07,Hockey,Nike Women's Legend V-Neck T-Shirt,3.0,58.0,2016-07,2,1.409,0.67
Fitness,2016-07,Lacrosse,Under Armour Men's Tech II T-Shirt,8.0,118.0,2016-07,15,0.702,1.88
Fitness,2016-08,Baseball & Softball,adidas Men's F10 Messi TRX FG Soccer Cleat,4.0,270.0,2016-08,4,0.226,1.0
Fitness,2016-08,Hockey,Nike Dri-FIT Crew Sock 6 Pack,11.0,108.0,2016-08,19,0.188,1.73
Fitness,2016-08,Hockey,Nike Women's Legend V-Neck T-Shirt,3.0,58.0,2016-08,3,0.983,1.0
Fitness,2016-08,Soccer,Elevation Training Mask 2.0,4.0,160.0,2016-08,6,2.241,1.5
Fitness,2016-09,Baseball & Softball,adidas Kids' F5 Messi FG Soccer Cleat,3.0,58.0,2016-09,6,1.103,2.0
Fitness,2016-09,Baseball & Softball,adidas Men's F10 Messi TRX FG Soccer Cleat,5.0,135.0,2016-09,0,0.959,0.0
Fitness,2016-09,Hockey,Nike Dri-FIT Crew Sock 6 Pack,4.0,36.0,2016-09,2,2.02,0.5
Fitness,2016-09,Hockey,Nike Women's Legend V-Neck T-Shirt,6.0,116.0,2016-09,4,1.731,0.67
Fitness,2016-09,Tennis & Racquet,Nike Men's Comfort 2 Slide,11.0,424.0,2016-09,18,0.593,1.64
Fitness,2016-10,Baseball & Softball,adidas Men's F10 Messi TRX FG Soccer Cleat,10.0,405.0,2016-10,8,1.965,0.8
Fitness,2016-10,Hockey,Nike Dri-FIT Crew Sock 6 Pack,11.0,144.0,2016-10,12,2.228,1.09
Fitness,2016-10,Hockey,Nike Women's Legend V-Neck T-Shirt,7.0,116.0,2016-10,8,2.292,1.14
Fitness,2016-10,Lacrosse,Under Armour Men's Tech II T-Shirt,5.0,177.0,2016-10,0,1.789,0.0
Fitness,2016-10,Tennis & Racquet,Nike Men's Comfort 2 Slide,3.0,106.0,2016-10,4,1.799,1.33
Fitness,2016-11,Baseball & Softball,adidas Kids' F5 Messi FG Soccer Cleat,7.0,116.0,2016-11,5,1.207,0.71
Fitness,2016-11,Baseball & Softball,adidas Men's F10 Messi TRX FG Soccer Cleat,4.0,135.0,2016-11,2,0.841,0.5
Fitness,2016-11,Hockey,Nike Dri-FIT Crew Sock 6 Pack,15.0,108.0,2016-11,4,1.719,0.27
Fitness,2016-11,Hockey,Nike Women's Legend V-Neck T-Shirt,2.0,58.0,2016-11,4,0.403,2.0
Fitness,2016-12,Baseball & Softball,adidas Kids' F5 Messi FG Soccer Cleat,5.0,58.0,2016-12,7,1.03,1.4
Fitness,2016-12,Baseball & Softball,adidas Men's F10 Messi TRX FG Soccer Cleat,6.0,270.0,2016-12,9,1.469,1.5
Fitness,2016-12,Hockey,Nike Dri-FIT Crew Sock 6 Pack,7.0,144.0,2016-12,1,0.585,0.14
Fitness,2016-12,Hockey,Nike Women's Legend V-Neck T-Shirt,8.0,174.0,2016-12,14,2.249,1.75
Fitness,2016-12,Lacrosse,Under Armour Men's Tech II T-Shirt,9.0,118.0,2016-12,8,0.579,0.89
Fitness,2016-12,Tennis & Racquet,Nike Men's Comfort 2 Slide,5.0,424.0,2016-12,3,0.741,0.6
Fitness,2017-01,Baseball & Softball,adidas Kids' F5 Messi FG Soccer Cleat,5.0,174.0,2017-01,10,1.482,2.0
Fitness,2017-01,Baseball & Softball,adidas Men's F10 Messi TRX FG Soccer Cleat,6.0,270.0,2017-01,0,2.326,0.0
Fitness,2017-01,Hockey,Nike Dri-FIT Crew Sock 6 Pack,2.0,36.0,2017-01,4,0.809,2.0
Fitness,2017-01,Hockey,Nike Women's Legend V-Neck T-Shirt,1.0,58.0,2017-01,2,0.719,2.0
Fitness,2017-01,Lacrosse,Under Armour Men's Tech II T-Shirt,16.0,236.0,2017-01,17,1.452,1.06
Fitness,2017-01,Tennis & Racquet,Nike Men's Comfort 2 Slide,8.0,318.0,2017-01,1,1.3,0.12
Fitness,2017-02,Baseball & Softball,adidas Kids' F5 Messi FG Soccer Cleat,4.0,116.0,2017-02,3,1.571,0.75
Fitness,2017-02,Baseball & Softball,adidas Men's F10 Messi TRX FG Soccer Cleat,5.0,270.0,2017-02,5,1.516,1.0
Fitness,2017-02,Hockey,Nike Dri-FIT Crew Sock 6 Pack,2.0,36.0,2017-02,2,0.906,1.0
Fitness,2017-02,Hockey,Nike Women's Legend V-Neck T-Shirt,9.0,116.0,2017-02,9,2.237,1.0
Fitness,2017-02,Lacrosse,Under Armour Men's Tech II T-Shirt,10.0,177.0,2017-02,14,0.434,1.4
Fitness,2017-02,Tennis & Racquet,Nike Men's Comfort 2 Slide,3.0,106.0,2017-02,4,0.923,1.33
Fitness,2017-03,Baseball & Softball,adidas Kids' F5 Messi FG Soccer Cleat,1.0,58.0,2017-03,1,1.371,1.0
Fitness,2017-03,Baseball & Softball,adidas Men's F10 Messi TRX FG Soccer Cleat,6.0,270.0,2017-03,11,2.163,1.83
Fitness,2017-03,Hockey,Nike Dri-FIT Crew Sock 6 Pack,3.0,72.0,2017-03,3,1.39,1.0
Fitness,2017-03,Hockey,Nike Women's Legend V-Neck T-Shirt,4.0,58.0,2017-03,5,2.09,1.25
Fitness,2017-03,Lacrosse,Under Armour Men's Tech II T-Shirt,12.0,177.0,2017-03,19,0.503,1.58
Fitness,2017-03,Tennis & Racquet,Nike Men's Comfort 2 Slide,9.0,318.0,2017-03,6,1.278,0.67
Fitness,2017-04,Baseball & Softball,adidas Brazuca 2017 Official Match Ball,1.0,74.0,2017-04,0,1.502,0.0
Fitness,2017-04,Baseball & Softball,adidas Men's F10 Messi TRX FG Soccer Cleat,6.0,540.0,2017-04,12,1.486,2.0
Fitness,2017-04,Hockey,Nike Dri-FIT Crew Sock 6 Pack,3.0,72.0,2017-04,5,2.085,1.67
Fitness,2017-04,Hockey,Nike Women's Legend V-Neck T-Shirt,5.0,58.0,2017-04,1,0.369,0.2
Fitness,2017-04,Lacrosse,Nike Kids' Grade School KD VI Basketball Shoe,3.0,186.0,2017-04,0,1.816,0.0
Fitness,2017-04,Lacrosse,Under Armour Men's Tech II T-Shirt,4.0,177.0,2017-04,7,1.418,1.75
Fitness,2017-04,Tennis & Racquet,Nike Men's Comfort 2 Slide,5.0,212.0,2017-04,5,1.646,1.0
Fitness,2017-05,Baseball & Softball,adidas Brazuca 2017 Official Match Ball,3.0,222.0,2017-05,4,2.211,1.33
Fitness,2017-05,Lacrosse,Nike Kids' Grade School KD VI Basketball Shoe,3.0,372.0,2017-05,4,1.446,1.33
Fitness,2017-05,Soccer,Elevation Training Mask 2.0,19.0,960.0,2017-05,21,0.127,1.11
Fitness,2017-05,Soccer,Nike Men's Fingertrap Max Training Shoe,5.0,285.0,2017-05,5,1.372,1.0
Fitness,2017-06,Baseball & Softball,adidas Brazuca 2017 Official Match Ball,2.0,148.0,2017-06,2,1.595,1.0
Fitness,2017-06,Soccer,Elevation Training Mask 2.0,5.0,160.0,2017-06,9,1.289,1.8
Fitness,2017-06,Soccer,Nike Men's Fingertrap Max Training Shoe,2.0,114.0,2017-06,4,0.434,2.0
Fitness,2017-07,Baseball & Softball,adidas Brazuca 2017 Official Match Ball,1.0,74.0,2017-07,2,0.925,2.0
Fitness,2017-07,Hockey,Stiga Master Series ST3100 Competition Indoor,1.0,108.0,2017-07,0,2.317,0.0
Fitness,2017-07,Soccer,Nike Men's Fingertrap Max Training Shoe,1.0,57.0,2017-07,2,0.409,2.0
Fitness,2017-07,Tennis & Racquet,Nike Men's Comfort 2 Slide,1.0,106.0,2017-07,2,0.858,2.0
Fitness,2017-08,Baseball & Softball,adidas Brazuca 2017 Official Match Ball,2.0,148.0,2017-08,1,0.683,0.5
Fitness,2017-08,Baseball & Softball,adidas Men's F10 Messi TRX FG Soccer Cleat,1.0,135.0,2017-08,0,0.686,0.0
Fitness,2017-08,Lacrosse,Nike Kids' Grade School KD VI Basketball Shoe,7.0,558.0,2017-08,12,1.302,1.71
